,SENDER,RECEIVER,SENDER DEPT,RECEIVER DEPT
4564,157,681,0,0
4565,320,389,7,7
4566,320,393,7,7
4567,320,320,7,7
4568,12,267,14,14
4569,255,712,6,0
4570,474,111,15,8
4571,218,482,1,2
4572,218,340,1,2
4573,320,397,7,7
4574,404,233,16,19
4575,96,455,20,22
4576,337,135,13,13
4577,299,171,15,10
4578,491,163,6,24
4579,476,112,15,8
4580,493,133,4,4
4581,233,212,19,34
4582,233,82,19,36
4583,8,566,14,14
4584,181,14,7,4
4585,212,233,34,19
4586,62,113,36,10
4587,21,121,9,36
4588,38,245,11,10
4589,38,417,11,10
4590,38,547,11,10
4591,38,48,11,10
4592,38,171,11,10
4593,62,571,36,21
4594,285,132,22,28
4595,331,459,39,1
4596,136,455,13,22
4597,102,412,38,21
4598,127,189,6,15
4599,60,181,7,7
4600,60,219,7,1
4601,47,86,10,36
4602,184,173,15,38
4603,175,137,32,21
4604,262,180,0,0
4605,25,36,11,11
4606,37,34,11,11
4607,411,271,28,28
4608,58,107,21,36
4609,593,377,5,7
4610,433,49,37,36
4611,86,184,36,15
4612,340,218,2,1
4613,59,59,21,21
4614,464,455,4,22
4615,460,462,34,30
4616,483,47,3,10
4617,86,310,36,1
4618,367,256,10,4
4619,107,58,36,21
4620,87,513,34,35
4621,419,143,4,8
4622,121,283,36,36
4623,69,325,15,9
4624,69,713,15,15
4625,69,10,15,9
4626,69,508,15,15
4627,86,172,36,4
4628,86,714,36,4
4629,84,282,37,36
4630,84,31,37,11
4631,84,366,37,36
4632,84,110,37,8
4633,84,250,37,7
4634,84,111,37,8
4635,84,142,37,36
4636,84,715,37,15
4637,235,238,19,19
4638,47,483,10,3
4639,282,84,36,37
4640,128,64,5,25
4641,69,667,15,15
4642,434,401,34,4
4643,325,69,9,15
4644,142,248,36,1
4645,340,62,2,36
4646,58,154,21,35
4647,171,38,10,11
4648,484,83,4,36
4649,716,716,29,29
4650,158,158,19,19
4651,128,143,5,8
4652,2,481,21,22
4653,143,478,8,8
4654,520,155,21,35
4655,160,430,36,14
4656,491,491,6,6
4657,485,113,10,10
4658,401,434,4,34
4659,128,167,5,4
4660,485,485,10,10
4661,129,62,4,36
4662,131,717,28,24
4663,249,147,14,23
4664,209,319,19,19
4665,481,6,22,25
4666,137,121,21,36
4667,129,280,4,4
4668,137,63,21,21
4669,129,526,4,4
4670,129,426,4,4
4671,129,53,4,4
4672,129,133,4,4
4673,129,232,4,4
4674,129,440,4,4
4675,129,14,4,4
4676,129,403,4,4
4677,129,292,4,4
4678,403,129,4,4
4679,526,129,4,4
4680,373,372,36,36
4681,372,107,36,36
4682,372,366,36,36
4683,138,211,21,22
4684,424,174,34,32
4685,115,494,13,36
4686,408,130,21,0
4687,14,129,4,4
4688,53,129,4,4
4689,395,389,7,7
4690,37,35,11,11
4691,395,379,7,7
4692,210,209,19,19
4693,6,481,25,22
4694,124,124,16,16
4695,211,138,22,21
4696,320,181,7,7
4697,278,183,0,4
4698,174,424,32,34
4699,527,527,10,10
4700,379,395,7,7
4701,516,411,1,28
4702,430,160,14,36
4703,2,665,21,32
4704,4,586,21,21
4705,284,5,0,25
4706,55,718,22,21
4707,55,208,22,22
4708,4,107,21,36
4709,172,130,4,0
4710,717,717,24,24
4711,362,141,14,14
4712,64,306,25,9
4713,482,218,2,1
4714,27,24,11,11
4715,513,87,35,34
4716,42,667,34,15
4717,42,20,34,9
4718,42,245,34,10
4719,90,108,8,8
4720,331,166,39,36
4721,244,234,19,19
4722,417,438,10,13
4723,495,256,23,4
4724,311,16,1,34
4725,155,520,35,21
4726,106,256,38,4
4727,62,133,36,4
4728,271,366,28,36
4729,268,221,39,1
4730,401,493,4,4
4731,79,162,3,37
4732,420,568,26,4
4733,214,483,0,3
4734,550,81,15,15
4735,440,533,4,35
4736,397,719,7,7
4737,229,37,10,11
4738,81,550,15,15
4739,343,343,0,0
4740,474,282,15,36
4741,0,221,1,1
4742,221,268,1,39
4743,474,494,15,36
4744,292,62,4,36
4745,290,86,4,36
4746,494,474,36,15
4747,105,163,34,24
4748,105,83,34,36
4749,249,141,14,14
4750,464,493,4,4
4751,46,448,17,17
4752,225,17,1,1
4753,48,229,10,10
4754,543,168,4,4
4755,361,116,10,13
4756,107,532,36,21
4757,160,337,36,13
4758,302,96,20,20
4759,160,336,36,13
4760,542,450,4,4
4761,526,576,4,4
4762,401,172,4,4
4763,64,128,25,5
4764,355,128,27,5
4765,147,189,23,15
4766,404,125,16,16
4767,275,275,4,4
4768,662,404,16,16
4769,58,96,21,20
4770,515,64,4,25
4771,3,236,21,19
4772,64,515,25,4
4773,317,85,1,1
4774,317,312,1,1
4775,14,232,4,4
4776,141,62,14,36
4777,229,48,10,10
4778,63,57,21,21
4779,5,284,25,0
4780,482,419,2,4
4781,62,141,36,14
4782,393,308,7,1
4783,393,380,7,7
4784,393,384,7,7
4785,393,386,7,7
4786,393,387,7,7
4787,393,389,7,7
4788,393,391,7,7
4789,340,107,2,36
4790,23,417,11,10
4791,107,340,36,2
4792,336,27,13,11
4793,83,105,36,34
4794,610,235,6,19
4795,417,23,10,11
4796,417,29,10,11
4797,96,92,20,9
4798,122,376,0,7
4799,129,35,4,11
4800,323,101,16,16
4801,499,61,14,7
4802,499,182,14,7
4803,183,301,4,26
4804,262,402,0,0
4805,408,194,21,21
4806,141,44,14,14
4807,61,499,7,14
4808,327,325,9,9
4809,412,683,21,22
4810,461,140,17,17
4811,461,446,17,17
4812,461,428,17,17
4813,461,447,17,17
4814,461,448,17,17
4815,461,429,17,17
4816,61,172,7,4
4817,244,235,19,19
4818,216,140,17,17
4819,216,139,17,17
4820,216,428,17,17
4821,216,272,17,17
4822,216,274,17,17
4823,216,448,17,17
4824,216,46,17,17
4825,216,45,17,17
4826,287,189,15,15
4827,113,486,10,4
4828,20,62,9,36
4829,608,720,14,14
4830,92,96,9,20
4831,117,189,6,15
4832,95,377,4,7
4833,277,284,0,0
4834,493,413,4,4
4835,493,515,4,4
4836,493,168,4,4
4837,493,172,4,4
4838,493,450,4,4
4839,493,440,4,4
4840,493,275,4,4
4841,493,93,4,4
4842,493,458,4,4
4843,493,464,4,4
4844,458,493,4,4
4845,413,493,4,4
4846,275,493,4,4
4847,301,183,26,4
4848,34,54,11,22
4849,95,205,4,5
4850,554,482,2,2
4851,27,25,11,11
4852,27,26,11,11
4853,27,27,11,11
4854,27,28,11,11
4855,27,29,11,11
4856,27,30,11,11
4857,27,721,11,11
4858,27,31,11,11
4859,27,32,11,11
4860,27,722,11,11
4861,27,33,11,11
4862,27,34,11,11
4863,27,35,11,11
4864,27,36,11,11
4865,27,37,11,11
4866,27,38,11,11
4867,27,39,11,11
4868,27,40,11,11
4869,27,588,11,11
4870,27,545,11,11
4871,34,361,11,10
4872,482,554,2,2
4873,361,136,10,13
4874,361,34,10,11
4875,35,129,11,4
4876,467,86,15,36
4877,215,223,1,1
4878,13,165,26,13
4879,434,280,34,4
4880,129,291,4,4
4881,160,135,36,13
4882,75,135,10,13
4883,665,175,32,32
4884,378,393,7,7
4885,138,286,21,21
4886,175,665,32,32
4887,333,455,10,22
4888,251,123,13,13
4889,455,464,22,4
4890,123,251,13,13
4891,450,493,4,4
4892,377,95,7,4
4893,243,80,19,29
4894,86,47,36,10
4895,103,368,7,7
4896,551,723,15,9
4897,267,12,14,14
4898,129,46,4,17
4899,333,333,10,10
4900,447,440,17,4
4901,46,129,17,4
4902,333,443,10,10
4903,440,447,4,17
4904,553,553,2,2
4905,62,151,36,10
4906,62,367,36,10
4907,136,361,13,10
4908,160,576,36,4
4909,85,314,1,1
4910,723,551,9,15
4911,450,160,4,36
4912,160,361,36,10
4913,303,630,20,20
4914,174,520,32,21
4915,160,446,36,17
4916,160,136,36,13
4917,305,5,21,25
4918,370,333,10,10
4919,114,212,10,34
4920,20,92,9,9
4921,62,158,36,19
4922,80,243,29,19
4923,68,663,15,15
4924,274,15,17,17
4925,520,174,21,32
4926,6,376,25,7
4927,520,281,21,21
4928,281,520,21,21
4929,376,6,7,25
4930,2,59,21,21
4931,8,672,14,14
4932,8,510,14,14
4933,104,61,7,7
4934,327,10,9,9
4935,90,329,8,8
4936,400,86,9,36
4937,35,33,11,11
4938,394,385,7,7
4939,394,250,7,7
4940,10,327,9,9
4941,321,321,7,7
4942,86,400,36,9
4943,36,165,11,13
4944,108,375,8,8
4945,234,269,19,17
4946,533,121,35,36
4947,115,113,13,10
4948,186,254,40,40
4949,486,114,4,10
4950,486,245,4,10
4951,47,168,10,4
4952,22,35,9,11
4953,91,329,15,8
4954,4,59,21,21
4955,337,169,13,13
4956,27,361,11,10
4957,88,88,20,20
4958,13,329,26,8
4959,14,14,4,4
4960,511,420,0,26
4961,538,326,9,9
4962,302,88,20,20
4963,13,23,26,11
4964,248,297,1,1
4965,338,724,13,13
4966,338,437,13,13
4967,338,336,13,13
4968,338,136,13,13
4969,338,439,13,13
4970,338,135,13,13
4971,114,444,10,10
4972,114,114,10,10
4973,114,423,10,10
4974,404,612,16,37
4975,74,317,1,1
4976,212,283,34,36
4977,165,29,13,11
4978,165,725,13,10
4979,165,33,13,11
4980,165,34,13,11
4981,165,35,13,11
4982,165,338,13,13
4983,165,38,13,11
4984,87,474,34,15
4985,45,216,17,17
4986,21,489,9,25
4987,79,133,3,4
4988,140,15,17,17
4989,523,522,4,4
4990,378,103,7,7
4991,329,363,8,35
4992,145,546,35,35
4993,65,426,4,4
4994,474,108,15,8
4995,254,492,40,40
4996,32,113,11,10
4997,474,328,15,8
4998,58,175,21,32
4999,451,566,14,14
5000,282,318,36,10
5001,248,696,1,1
5002,285,58,22,21
5003,339,339,13,13
5004,588,588,11,11
5005,25,10,11,9
5006,159,159,19,19
5007,329,13,8,26
5008,23,13,11,26
5009,100,117,16,6
5010,114,486,10,4
5011,526,526,4,4
5012,279,279,23,23
5013,113,32,10,11
5014,191,180,0,0
5015,114,547,10,10
5016,114,339,10,13
5017,140,644,17,25
5018,10,25,9,11
5019,117,100,6,16
5020,556,464,4,4
5021,271,64,28,25
5022,408,5,21,25
5023,104,181,7,7
5024,104,250,7,7
5025,218,1,1,1
5026,147,160,23,36
5027,464,556,4,4
5028,121,533,36,35
5029,494,377,36,7
5030,207,95,4,4
5031,424,109,34,27
5032,424,429,34,17
5033,271,717,28,24
5034,231,122,0,0
5035,510,8,14,14
5036,49,49,36,36
5037,351,350,0,0
5038,380,120,7,1
5039,380,101,7,16
5040,380,65,7,4
5041,350,352,0,0
5042,290,108,4,8
5043,5,644,25,25
5044,133,79,4,3
5045,2,208,21,22
5046,394,379,7,7
5047,128,283,5,36
5048,128,365,5,14
5049,377,390,7,7
5050,6,408,25,21
5051,88,96,20,20
5052,506,19,14,14
5053,76,48,10,10
5054,60,376,7,7
5055,60,172,7,4
5056,60,167,7,4
5057,60,231,7,0
5058,60,122,7,0
5059,60,95,7,4
5060,19,506,14,14
5061,210,363,19,35
5062,167,60,4,7
5063,438,338,13,13
5064,165,547,13,10
5065,254,651,40,26
5066,95,60,4,7
5067,108,357,8,8
5068,612,121,37,36
5069,180,70,0,37
5070,96,88,20,20
5071,20,11,9,14
5072,93,95,4,4
5073,165,13,13,26
5074,188,42,15,34
5075,474,87,15,34
5076,518,16,35,34
5077,59,586,21,21
5078,357,589,8,23
5079,685,54,21,22
5080,685,57,21,21
5081,685,520,21,21
5082,685,58,21,21
5083,685,63,21,21
5084,685,59,21,21
5085,184,68,15,15
5086,448,15,17,17
5087,390,377,7,7
5088,533,58,35,21
5089,282,371,36,16
5090,58,254,21,40
5091,59,685,21,21
5092,59,4,21,21
5093,190,420,15,26
5094,371,282,16,36
5095,371,100,16,16
5096,569,44,14,14
5097,231,60,0,7
5098,105,154,34,35
5099,160,380,36,7
5100,169,212,13,34
5101,153,282,27,36
5102,533,266,35,14
5103,101,380,16,7
5104,108,329,8,8
5105,108,290,8,4
5106,236,3,19,21
5107,440,515,4,4
5108,242,210,19,19
5109,587,3,21,21
5110,172,450,4,4
5111,42,188,34,15
5112,285,4,22,21
5113,265,525,14,14
5114,210,242,19,19
5115,143,340,8,2
5116,726,342,31,0
5117,113,115,10,13
5118,393,212,7,34
5119,236,587,19,21
5120,566,666,14,14
5121,333,361,10,10
5122,333,417,10,10
5123,333,444,10,10
5124,333,318,10,10
5125,333,442,10,10
5126,333,423,10,10
5127,333,245,10,10
5128,333,47,10,10
5129,333,76,10,10
5130,333,48,10,10
5131,333,485,10,10
5132,518,282,35,36
5133,184,509,15,15
5134,4,285,21,22
5135,4,58,21,21
5136,411,717,28,24
5137,160,474,36,15
5138,160,258,36,8
5139,65,380,4,7
5140,589,283,23,36
5141,589,83,23,36
5142,587,236,21,19
5143,265,266,14,14
5144,667,6,15,25
5145,6,667,25,15
5146,164,269,17,17
5147,357,568,8,4
5148,160,557,36,3
5149,569,451,14,14
5150,727,464,4,4
5151,63,420,21,26
5152,148,191,0,0
5153,241,236,19,19
5154,212,393,34,7
5155,249,222,14,1
5156,268,311,39,1
5157,557,160,3,36
5158,12,569,14,14
5159,379,394,7,7
5160,58,408,21,21
5161,295,215,7,1
5162,589,357,23,8
5163,283,288,36,37
5164,83,199,36,4
5165,288,283,37,36
5166,154,105,35,34
5167,154,533,35,35
5168,518,154,35,35
5169,690,189,15,15
5170,155,154,35,35
5171,316,459,1,1
5172,107,280,36,4
5173,281,56,21,21
5174,115,420,13,26
5175,283,106,36,38
5176,113,280,10,4
5177,113,107,10,36
5178,408,6,21,25
5179,525,265,14,14
5180,11,20,14,9
5181,609,609,13,13
5182,408,4,21,21
5183,2,5,21,25
5184,258,105,8,34
5185,258,434,8,34
5186,258,365,8,14
5187,408,412,21,21
5188,535,134,9,2
5189,50,643,37,37
5190,451,569,14,14
5191,9,452,14,14
5192,547,339,10,13
5193,280,107,4,36
5194,469,375,22,8
5195,251,339,13,13
5196,21,728,9,22
5197,393,533,7,35
5198,338,252,13,20
5199,728,21,22,9
5200,172,401,4,4
5201,90,143,8,8
5202,366,74,36,1
5203,369,630,20,20
5204,545,36,11,11
5205,458,568,4,4
5206,525,729,14,14
5207,306,723,9,9
5208,525,407,14,14
5209,525,505,14,14
5210,525,421,14,14
5211,491,453,6,6
5212,491,117,6,6
5213,31,36,11,11
5214,407,44,14,14
5215,407,502,14,14
5216,407,503,14,14
5217,407,406,14,14
5218,407,504,14,14
5219,407,505,14,14
5220,407,358,14,14
5221,407,506,14,14
5222,419,78,4,3
5223,339,251,13,13
5224,450,568,4,4
5225,533,87,35,34
5226,179,156,0,0
5227,533,393,35,7
5228,329,568,8,4
5229,420,13,26,26
5230,66,329,8,8
5231,168,47,4,10
5232,167,491,4,6
5233,238,158,19,19
5234,168,491,4,6
5235,249,569,14,14
5236,238,412,19,21
5237,22,258,9,8
5238,371,101,16,16
5239,420,63,26,21
5240,183,356,4,8
5241,183,80,4,29
5242,183,375,4,8
5243,183,184,4,15
5244,183,357,4,8
5245,116,245,13,10
5246,212,82,34,36
5247,149,180,0,0
5248,82,249,36,14
5249,491,127,6,6
5250,80,183,29,4
5251,31,155,11,35
5252,338,256,13,4
5253,570,570,14,14
5254,546,144,35,40
5255,546,23,35,11
5256,62,99,36,16
5257,121,249,36,14
5258,113,485,10,10
5259,417,361,10,10
5260,361,417,10,10
5261,153,142,27,36
5262,366,372,36,36
5263,100,371,16,16
5264,258,22,8,9
5265,366,317,36,1
5266,317,366,1,36
5267,730,62,23,36
5268,18,221,1,1
5269,397,379,7,7
5270,713,81,15,15
5271,314,160,1,36
5272,569,249,14,14
5273,389,64,7,25
5274,478,543,8,4
5275,478,424,8,34
5276,105,256,34,4
5277,5,379,25,7
5278,5,157,25,0
5279,5,191,25,0
5280,184,357,15,8
5281,82,161,36,14
5282,121,371,36,16
5283,82,46,36,17
5284,121,362,36,14
5285,121,127,36,6
5286,82,329,36,8
5287,121,468,36,1
5288,82,495,36,23
5289,155,87,35,34
5290,82,236,36,19
5291,82,214,36,0
5292,82,179,36,0
5293,82,28,36,11
5294,121,531,36,3
5295,82,81,36,15
5296,520,4,21,21
5297,82,367,36,10
5298,82,203,36,4
5299,82,568,36,4
5300,121,642,36,6
5301,121,114,36,10
5302,121,128,36,5
5303,121,130,36,0
5304,121,169,36,13
5305,121,296,36,7
5306,121,129,36,4
5307,121,187,36,15
5308,121,36,36,11
5309,121,18,36,1
5310,121,63,36,21
5311,179,214,0,0
5312,114,121,10,36
5313,121,210,36,19
5314,148,148,0,0
5315,165,36,13,11
5316,82,303,36,20
5317,560,84,31,37
5318,520,208,21,22
5319,568,357,4,8
5320,137,62,21,36
5321,568,458,4,4
5322,338,365,13,14
5323,731,731,1,1
5324,129,63,4,21
5325,490,490,6,6
5326,389,379,7,7
5327,732,732,4,4
5328,321,61,7,7
5329,63,129,21,4
5330,281,5,21,25
5331,281,64,21,25
5332,281,408,21,21
5333,128,207,5,4
5334,85,85,1,1
5335,211,661,22,14
5336,198,41,4,5
5337,5,281,25,21
5338,306,733,9,9
5339,13,214,26,0
5340,13,340,26,2
5341,17,62,1,36
5342,181,219,7,1
5343,84,560,37,31
5344,385,377,7,7
5345,377,734,7,1
5346,377,495,7,23
5347,377,219,7,1
5348,377,167,7,4
5349,377,214,7,0
5350,377,450,7,4
5351,377,148,7,0
5352,377,402,7,0
5353,377,129,7,4
5354,377,468,7,1
5355,377,228,7,1
5356,421,525,14,14
5357,357,329,8,8
5358,128,526,5,4
5359,155,31,35,11
5360,62,17,36,1
5361,169,36,13,11
5362,86,480,36,15
5363,17,121,1,36
5364,593,128,5,5
5365,507,507,31,31
5366,526,128,4,5
5367,133,114,4,10
5368,143,357,8,8
5369,480,166,15,36
5370,170,36,13,11
5371,170,367,13,10
5372,109,108,27,8
5373,62,554,36,2
5374,62,134,36,2
5375,114,133,10,4
5376,592,334,17,17
5377,173,538,38,9
5378,401,526,4,4
5379,218,18,1,1
5380,133,531,4,3
5381,133,256,4,4
5382,133,445,4,3
5383,326,420,9,26
5384,329,91,8,15
5385,176,515,4,4
5386,215,1,1,1
5387,215,74,1,1
5388,215,309,1,1
5389,215,248,1,1
5390,215,313,1,1
5391,215,297,1,1
5392,215,227,1,1
5393,215,73,1,1
5394,215,17,1,1
5395,215,341,1,1
5396,515,176,4,4
5397,143,62,8,36
5398,98,404,16,16
5399,129,296,4,7
5400,310,17,1,1
5401,110,108,8,8
5402,110,111,8,8
5403,322,735,17,17
5404,328,494,8,36
5405,337,420,13,26
5406,4,520,21,21
5407,22,22,9,9
5408,25,38,11,11
5409,25,40,11,11
5410,183,329,4,8
5411,484,572,4,4
5412,303,369,20,20
5413,241,234,19,19
5414,406,332,14,14
5415,329,183,8,4
5416,81,161,15,14
5417,11,421,14,14
5418,147,1,23,1
5419,147,329,23,8
5420,147,85,23,1
5421,147,106,23,38
5422,147,316,23,1
5423,160,397,36,7
5424,665,254,32,40
5425,74,309,1,1
5426,251,26,13,11
5427,18,218,1,1
5428,26,251,11,13
5429,367,16,10,34
5430,367,36,10,11
5431,367,170,10,13
5432,108,420,8,26
5433,108,328,8,8
5434,166,44,36,14
5435,328,108,8,8
5436,18,167,1,4
5437,58,137,21,21
5438,82,187,36,15
5439,82,18,36,1
5440,82,468,36,1
5441,178,275,0,4
5442,283,303,36,20
5443,424,188,34,15
5444,424,81,34,15
5445,283,372,36,36
5446,393,157,7,0
5447,393,396,7,7
5448,35,29,11,11
5449,394,103,7,7
5450,264,61,14,7
5451,325,10,9,9
5452,114,160,10,36
5453,406,44,14,14
5454,406,502,14,14
5455,406,503,14,14
5456,406,504,14,14
5457,406,505,14,14
5458,406,358,14,14
5459,406,506,14,14
5460,12,681,14,0
5461,355,249,27,14
5462,135,116,13,13
5463,736,736,27,27
5464,7,452,14,14
5465,61,264,7,14
5466,60,283,7,36
5467,681,12,0,14
5468,21,82,9,36
5469,116,135,13,13
5470,737,271,28,28
5471,232,280,4,4
5472,194,55,21,22
5473,6,397,25,7
5474,6,305,25,21
5475,321,393,7,7
5476,21,42,9,34
5477,62,404,36,16
5478,82,21,36,9
5479,256,82,4,36
5480,132,282,28,36
5481,404,62,16,36
5482,173,325,38,9
5483,173,10,38,9
5484,173,326,38,9
5485,142,74,36,1
5486,293,293,14,14
5487,105,21,34,9
5488,495,283,23,36
5489,569,12,14,14
5490,112,375,8,8
5491,112,357,8,8
5492,76,485,10,10
5493,493,399,4,4
5494,481,738,22,22
5495,543,543,4,4
5496,286,126,21,22
5497,485,76,10,10
5498,278,121,0,36
5499,82,227,36,1
5500,493,270,4,4
5501,493,290,4,4
5502,493,568,4,4
5503,7,421,14,14
5504,156,191,0,0
5505,473,667,15,15
5506,283,60,36,7
5507,57,57,21,21
5508,473,473,15,15
5509,82,326,36,9
5510,82,44,36,14
5511,82,739,36,14
5512,82,462,36,30
5513,568,493,4,4
5514,82,10,36,9
5515,305,6,21,25
5516,82,280,36,4
5517,82,129,36,4
5518,82,567,36,4
5519,82,63,36,21
5520,82,740,36,20
5521,82,550,36,15
5522,161,161,14,14
5523,82,296,36,7
5524,82,395,36,7
5525,165,340,13,2
5526,82,77,36,3
5527,282,132,36,28
5528,147,612,23,37
5529,232,219,4,1
5530,741,179,7,0
5531,58,520,21,21
5532,191,156,0,0
5533,166,373,36,36
5534,144,546,40,35
5535,179,345,0,0
5536,142,254,36,40
5537,82,228,36,1
5538,166,742,36,23
5539,733,420,9,26
5540,81,105,15,34
5541,82,555,36,14
5542,280,493,4,4
5543,743,516,1,1
5544,743,517,1,1
5545,738,305,22,21
5546,159,11,19,14
5547,61,64,7,25
5548,121,21,36,9
5549,473,108,15,8
5550,492,152,40,37
5551,64,61,25,7
5552,152,492,37,40
5553,214,377,0,7
5554,108,473,8,15
5555,744,744,4,4
5556,41,107,5,36
5557,160,58,36,21
5558,117,121,6,36
5559,369,303,20,20
5560,133,308,4,1
5561,172,219,4,1
5562,308,133,1,4
5563,63,16,21,34
5564,281,3,21,21
5565,283,495,36,23
5566,415,697,1,1
5567,285,137,22,21
5568,432,217,37,37
5569,211,82,22,36
5570,395,494,7,36
5571,516,743,1,1
5572,136,169,13,13
5573,48,96,10,20
5574,235,234,19,19
5575,126,286,22,21
5576,494,506,36,14
5577,29,113,11,10
5578,29,417,11,10
5579,29,21,11,9
5580,282,509,36,15
5581,434,419,34,4
5582,409,117,26,6
5583,21,29,9,11
5584,419,434,4,34
5585,96,48,20,10
5586,455,417,22,10
5587,417,455,10,22
5588,455,263,22,10
5589,329,367,8,10
5590,108,81,8,15
5591,44,161,14,14
5592,466,506,14,14
5593,411,285,28,22
5594,411,211,28,22
5595,44,106,14,38
5596,70,180,37,0
5597,354,100,16,16
5598,117,409,6,26
5599,249,44,14,14
5600,100,354,16,16
5601,87,533,34,35
5602,65,94,4,5
5603,377,385,7,7
5604,434,356,34,8
5605,36,23,11,11
5606,232,380,4,7
5607,254,58,40,21
5608,249,183,14,4
5609,434,154,34,35
5610,312,62,1,36
5611,367,329,10,8
5612,44,249,14,14
5613,423,114,10,10
5614,745,189,6,15
5615,358,43,14,14
5616,407,566,14,14
5617,107,100,36,16
5618,643,48,37,10
5619,515,458,4,4
5620,183,249,4,14
5621,169,366,13,36
5622,62,312,36,1
5623,176,486,4,4
5624,107,128,36,5
5625,107,41,36,5
5626,243,507,19,31
5627,258,108,8,8
5628,234,159,19,19
5629,234,233,19,19
5630,234,237,19,19
5631,234,319,19,19
5632,234,238,19,19
5633,234,637,19,19
5634,234,158,19,19
5635,234,240,19,19
5636,234,241,19,19
5637,234,243,19,19
5638,234,639,19,19
5639,234,587,19,21
5640,234,244,19,19
5641,128,215,5,1
5642,647,420,6,26
5643,167,377,4,7
5644,132,16,28,34
5645,370,547,10,10
5646,249,371,14,16
5647,249,404,14,16
5648,424,367,34,10
5649,506,494,14,36
5650,180,681,0,0
5651,24,27,11,11
5652,164,15,17,17
5653,154,434,35,34
5654,57,481,21,22
5655,218,307,1,1
5656,218,308,1,1
5657,218,177,1,1
5658,218,309,1,1
5659,218,215,1,1
5660,218,248,1,1
5661,218,120,1,1
5662,218,220,1,1
5663,218,310,1,1
5664,218,85,1,1
5665,218,311,1,1
5666,218,221,1,1
5667,218,312,1,1
5668,218,222,1,1
5669,218,313,1,1
5670,218,223,1,1
5671,218,0,1,1
5672,218,224,1,1
5673,218,314,1,1
5674,218,225,1,1
5675,218,315,1,1
5676,218,226,1,1
5677,218,73,1,1
5678,218,316,1,1
5679,218,317,1,1
5680,218,228,1,1
5681,249,493,14,4
5682,14,493,4,4
5683,325,327,9,9
5684,424,474,34,15
5685,16,63,34,21
5686,66,108,8,8
5687,137,571,21,21
5688,493,434,4,34
5689,493,41,4,5
5690,207,128,4,5
5691,493,180,4,0
5692,275,458,4,4
5693,493,425,4,4
5694,493,403,4,4
5695,145,249,35,14
5696,197,201,4,4
5697,198,229,4,10
5698,113,301,10,26
5699,481,57,22,21
5700,232,440,4,4
5701,440,232,4,4
5702,16,132,34,28
5703,100,107,16,36
5704,100,102,16,38
5705,94,200,5,4
5706,102,100,38,16
5707,16,174,34,32
5708,283,601,36,36
5709,14,289,4,0
5710,14,277,4,0
5711,14,203,4,4
5712,14,284,4,0
5713,141,11,14,14
5714,114,82,10,36
5715,114,434,10,34
5716,11,141,14,14
5717,22,137,9,21
5718,320,377,7,7
5719,463,462,30,30
5720,746,746,15,15
5721,69,80,15,29
5722,215,128,1,5
5723,301,113,26,10
5724,180,493,0,4
5725,304,211,20,22
5726,87,153,34,27
5727,44,406,14,14
5728,132,424,28,34
5729,253,282,31,36
5730,68,184,15,15
5731,200,204,4,5
5732,68,20,15,9
5733,345,256,0,4
5734,434,493,34,4
5735,434,114,34,10
5736,33,438,11,13
5737,373,714,36,4
5738,106,298,38,15
5739,106,582,38,15
5740,399,493,4,4
5741,547,113,10,10
5742,0,18,1,1
5743,366,169,36,13
5744,0,734,1,1
5745,29,29,11,11
5746,116,96,13,20
5747,434,41,34,5
5748,434,368,34,7
5749,665,121,32,36
5750,419,493,4,4
5751,734,0,1,1
5752,438,33,13,11
5753,371,249,16,14
5754,376,64,7,25
5755,93,172,4,4
5756,329,290,8,4
5757,371,434,16,34
5758,376,203,7,4
5759,83,747,36,15
5760,504,293,14,14
5761,121,107,36,36
5762,34,23,11,11
5763,298,106,15,38
5764,38,23,11,11
5765,40,23,11,11
5766,28,39,11,11
5767,183,655,4,4
5768,18,0,1,1
5769,493,419,4,4
5770,743,102,1,38
5771,515,593,4,5
5772,515,94,4,5
5773,22,173,9,38
5774,255,16,6,34
5775,282,253,36,31
5776,5,42,25,34
5777,42,5,34,25
5778,174,665,32,32
5779,259,92,9,9
5780,34,27,11,11
5781,557,133,3,4
5782,123,169,13,13
5783,281,174,21,32
5784,645,231,1,0
5785,107,665,36,32
5786,330,73,13,1
5787,156,342,0,0
5788,7,510,14,14
5789,16,255,34,6
5790,424,16,34,34
5791,360,359,14,14
5792,81,21,15,9
5793,92,259,9,9
5794,179,149,0,0
5795,63,236,21,19
5796,231,645,0,1
5797,183,286,4,21
5798,183,478,4,8
5799,183,81,4,15
5800,263,419,10,4
5801,193,194,21,21
5802,506,2,14,21
5803,29,229,11,10
5804,473,81,15,15
5805,311,420,1,26
5806,434,168,34,4
5807,419,263,4,10
5808,511,511,0,0
5809,165,437,13,13
5810,63,89,21,20
5811,160,417,36,10
5812,21,81,9,15
5813,62,90,36,8
5814,233,88,19,20
5815,233,586,19,21
5816,31,438,11,13
5817,438,31,13,11
5818,438,308,13,1
5819,361,370,10,10
5820,361,318,10,10
5821,361,547,10,10
5822,361,171,10,10
5823,466,213,14,14
5824,75,437,10,13
5825,179,284,0,0
5826,0,178,1,0
5827,87,434,34,34
5828,14,47,4,10
5829,297,248,1,1
5830,103,546,7,35
5831,453,160,6,36
5832,48,318,10,10
